Metrics,Severity,API,Description
java.class.nonPublicPartOfAPI,High,org.apache.catalina.core.StandardWrapperValve,Class 'org.apache.catalina.core.StandardWrapperValve' is indirectly included in the API (by the means of method return type for example) but the class is not accessible (neither public nor protected).
java.class.nonPublicPartOfAPI,High,org.apache.catalina.servlets.DefaultServlet.SortManager,Class 'org.apache.catalina.servlets.DefaultServlet.SortManager' is indirectly included in the API (by the means of method return type for example) but the class is not accessible (neither public nor protected).
java.class.nonPublicPartOfAPI,High,org.apache.catalina.startup.ContextConfig.DefaultWebXmlCacheEntry,Class 'org.apache.catalina.startup.ContextConfig.DefaultWebXmlCacheEntry' is indirectly included in the API (by the means of method return type for example) but the class is not accessible (neither public nor protected).
java.class.nonPublicPartOfAPI,High,org.apache.catalina.startup.ContextConfig.JavaClassCacheEntry,Class 'org.apache.catalina.startup.ContextConfig.JavaClassCacheEntry' is indirectly included in the API (by the means of method return type for example) but the class is not accessible (neither public nor protected).
java.missing.newClass,Medium,javax.xml.rpc.Service,Class 'javax.xml.rpc.Service' could not be found in the archives of the new API. It has been detected as contributing to the API and thus the analysis results may be incorrect.
java.missing.newClass,Medium,javax.xml.rpc.ServiceException,Class 'javax.xml.rpc.ServiceException' could not be found in the archives of the new API. It has been detected as contributing to the API and thus the analysis results may be incorrect.
java.missing.oldClass,Medium,javax.xml.rpc.Service,Class 'javax.xml.rpc.Service' could not be found in the archives of the old API. It has been detected as contributing to the API and thus the analysis results may be incorrect.
java.missing.oldClass,Medium,javax.xml.rpc.ServiceException,Class 'javax.xml.rpc.ServiceException' could not be found in the archives of the old API. It has been detected as contributing to the API and thus the analysis results may be incorrect.
